CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,ID,SEGMENT
"UK Collectables, Ltd.",1715552282,Berkeley Gardens 12  Brewery,Bilinmiyor,Liverpool,Bilinmiyor,WX1 6LT,UK,EMEA,Devon,Elizabeth,23,111
Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",Bilinmiyor,Madrid,Bilinmiyor,28034,Spain,EMEA,Freyre,Diego,24,333
"Volvo Model Replicas, Co",921123555,Berguvsvgen  8,Bilinmiyor,Lule,Bilinmiyor,S-958 22,Sweden,EMEA,Berglund,Christina,25,111
"Corrida Auto Replicas, Ltd",915552282,"C/ Araquil, 67",Bilinmiyor,Madrid,Bilinmiyor,28023,Spain,EMEA,Sommer,Mart¡n,26,111
"Dragon Souveniers, Ltd.",652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Bilinmiyor,Singapore,Bilinmiyor,79903,Singapore,Japan,Natividad,Eric,27,212
Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Bilinmiyor,Hernandez,Maria,28,111
"Australian Gift Network, Co",61738446555,31 Duncan St. West End,Bilinmiyor,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,29,111
"Classic Gift Ideas, Inc",2155554695,782 First Street,Bilinmiyor,Philadelphia,PA,71270,USA,Bilinmiyor,Cervantes,Francisca,30,111
"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",Bilinmiyor,Lyon,Bilinmiyor,69004,France,EMEA,Saveley,Mary,31,212
Canadian Gift Exchange Network,6045553392,1900 Oak St.,Bilinmiyor,Vancouver,BC,V3F 2K1,Canada,Bilinmiyor,Tannamuri,Yoshi,32,111
West Coast Collectables Co.,3105553722,3675 Furth Circle,Bilinmiyor,Burbank,CA,94019,USA,Bilinmiyor,Thompson,Steve,33,111
Cambridge Collectables Co.,6175555555,4658 Baden Av.,Bilinmiyor,Cambridge,MA,51247,USA,Bilinmiyor,Tseng,Kyung,34,111
Super Scale Inc.,2035559545,567 North Pendale Street,Bilinmiyor,New Haven,CT,97823,USA,Bilinmiyor,Murphy,Leslie,35,111
"Tokyo Collectables, Ltd",81335840555,2-2-8 Roppongi,Bilinmiyor,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,36,111
Amica Models & Co.,114988555,Via Monte Bianco 34,Bilinmiyor,Torino,Bilinmiyor,10100,Italy,EMEA,Accorti,Paolo,37,111
Scandinavian Gift Ideas,695346555,?kergatan 24,Bilinmiyor,Boras,Bilinmiyor,S-844 67,Sweden,EMEA,Larsson,Maria,38,111
Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",Bilinmiyor,Versailles,Bilinmiyor,78000,France,EMEA,Tonini,Daniel,39,111
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Bilinmiyor,San Rafael,CA,97562,USA,Bilinmiyor,Nelson,Valarie,40,333
Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Bilinmiyor,Nashua,NH,62005,USA,Bilinmiyor,Young,Valarie,41,111
Collectables For Less Inc.,6175558555,7825 Douglas Av.,Bilinmiyor,Brickhaven,MA,58339,USA,Bilinmiyor,Nelson,Allen,42,111
"Anna's Decorations, Ltd",299368555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,43,111
Quebec Home Shopping Network,5145558054,43 rue St. Laurent,Bilinmiyor,Montreal,Quebec,H1J 1C3,Canada,Bilinmiyor,Fresnisre,Jean,44,111
Osaka Souveniers Co.,810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Bilinmiyor,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,45,111
Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Bilinmiyor,Philadelphia,PA,71270,USA,Bilinmiyor,Hernandez,Rosa,46,111
Atelier graphique,40322555,"54, rue Royale",Bilinmiyor,Nantes,Bilinmiyor,44000,France,EMEA,Schmitt,Carine,47,111
Mini Classics,9145554562,3758 North Pendale Street,Bilinmiyor,White Plains,NY,24067,USA,Bilinmiyor,Frick,Steve,48,111
Danish Wholesale Imports,31123555,Vinb'ltet 34,Bilinmiyor,Kobenhavn,Bilinmiyor,1734,Denmark,EMEA,Petersen,Jytte,49,111
"Stylish Desk Decors, Co.",1715550297,35 King George,Bilinmiyor,London,Bilinmiyor,WX3 6FW,UK,EMEA,Brown,Ann,50,111
Mini Creations Ltd.,5085559555,4575 Hillside Dr.,Bilinmiyor,New Bedford,MA,50553,USA,Bilinmiyor,Tam,Wing C,51,111
Alpha Cognac,61776555,1 rue Alsace-Lorraine,Bilinmiyor,Toulouse,Bilinmiyor,31000,France,EMEA,Roulet,Annette,52,111
"Double Decker Gift Stores, Ltd",1715557555,120 Hanover Sq.,Bilinmiyor,London,Bilinmiyor,WA1 1DP,UK,EMEA,Hardy,Thomas,53,111
Enaco Distributors,932034555,"Rambla de Catalu¤a, 23",Bilinmiyor,Barcelona,Bilinmiyor,8022,Spain,EMEA,Saavedra,Eduardo,54,111
"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Bilinmiyor,Los Angeles,CA,Bilinmiyor,USA,Bilinmiyor,Chandler,Michael,55,111
Collectable Mini Designs Co.,7605558146,361 Furth Circle,Bilinmiyor,San Diego,CA,91217,USA,Bilinmiyor,Thompson,Valarie,56,111
Petit Auto,2555467,Rue Joseph-Bens 532,Bilinmiyor,Bruxelles,Bilinmiyor,B-1180,Belgium,EMEA,Dewey,Catherine,57,111
"Royal Canadian Collectables, Ltd.",6045554555,23 Tsawassen Blvd.,Bilinmiyor,Tsawassen,BC,T2F 8M4,Canada,Bilinmiyor,Lincoln,Elizabeth,58,111
Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Bilinmiyor,Boston,MA,51003,USA,Bilinmiyor,Yoshido,Juri,59,111
giftsbymail.co.uk,1985558888,Garden House Crowther Way,Bilinmiyor,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,60,111
"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,Bilinmiyor,Oulu,Bilinmiyor,90110,Finland,EMEA,Koskitalo,Pirkko,61,111
The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,Bilinmiyor,San Jose,CA,94217,USA,Bilinmiyor,Frick,Sue,62,222
"La Corne D'abondance, Co.",142342555,"265, boulevard Charonne",Bilinmiyor,Paris,Bilinmiyor,75012,France,EMEA,Bertrand,Marie,63,111
Mini Auto Werke,76753555,Kirchgasse 6,Bilinmiyor,Graz,Bilinmiyor,8010,Austria,EMEA,Mendel,Roland,64,111
Diecast Collectables,6175552555,6251 Ingle Ln.,Bilinmiyor,Boston,MA,51003,USA,Bilinmiyor,Franco,Valarie,65,111
Handji Gifts& Co,652241555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,Bilinmiyor,69045,Singapore,APAC,Victorino,Wendy,66,111
Cruz & Sons Co.,6325553587,15 McCallum Street - NatWest Center #13-03,Bilinmiyor,Makati City,Bilinmiyor,1227 MM,Philippines,Japan,Cruz,Arnold,67,111
Marseille Mini Autos,91244555,"12, rue des Bouchers",Bilinmiyor,Marseille,Bilinmiyor,13008,France,EMEA,Lebihan,Laurence,68,111
"Toms Spezialitten, Ltd",2215554327,Mehrheimerstr. 369,Bilinmiyor,Koln,Bilinmiyor,50739,Germany,EMEA,Pfalzheim,Henriette,69,111
"Vida Sport, Ltd",897034555,Grenzacherweg 237,Bilinmiyor,Gensve,Bilinmiyor,1203,Switzerland,EMEA,Holz,Michael,70,111
L'ordine Souveniers,522556555,Strada Provinciale 124,Bilinmiyor,Reggio Emilia,Bilinmiyor,42100,Italy,EMEA,Moroni,Maurizio,71,111
Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Bilinmiyor,Brickhaven,MA,58339,USA,Bilinmiyor,Barajas,Miguel,72,111
"Blauer See Auto, Co.",496966902555,Lyonerstr. 34,Bilinmiyor,Frankfurt,Bilinmiyor,60528,Germany,EMEA,Keitel,Roland,73,111
Suominen Souveniers,35898045555,"Software Engineering Center, SEC Oy",Bilinmiyor,Espoo,Bilinmiyor,FIN-02271,Finland,EMEA,Suominen,Kalle,74,111
Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,Bilinmiyor,Young,Jeff,75,212
"Clover Collections, Co.",35318621555,25 Maiden Lane,Floor No. 4,Dublin,Bilinmiyor,2,Ireland,EMEA,Cassidy,Dean,76,111
CAF Imports,34913728555,"Merchants House, 27-30 Merchant's Quay",Bilinmiyor,Madrid,Bilinmiyor,28023,Spain,EMEA,Fernandez,Jesus,77,111
"AV Stores, Co.",1715551555,Fauntleroy Circus,Bilinmiyor,Manchester,Bilinmiyor,EC2 5NT,UK,EMEA,Ashworth,Victoria,78,112
Heintze Collectables,86213555,Smagsloget 45,Bilinmiyor,Aaarhus,Bilinmiyor,8200,Denmark,EMEA,Ibsen,Palle,79,111
Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,Bilinmiyor,Kuo,Kee,80,111
Boards & Toys Co.,3105552373,4097 Douglas Av.,Bilinmiyor,Glendale,CA,92561,USA,Bilinmiyor,Young,Leslie,81,111
"Iberia Gift Imports, Corp.",955558282,"C/ Romero, 33",Bilinmiyor,Sevilla,Bilinmiyor,41101,Spain,EMEA,Roel,Jose Pedro,82,111
Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Bilinmiyor,Brisbane,CA,94217,USA,Bilinmiyor,Taylor,Sue,83,111
Mini Caravy,88601555,"24, place Kluber",Bilinmiyor,Strasbourg,Bilinmiyor,67000,France,EMEA,Citeaux,Frederique,84,111
Signal Gift Stores,7025551838,8489 Strong St.,Bilinmiyor,Las Vegas,NV,83030,USA,Bilinmiyor,King,Sue,85,111
"Norway Gifts By Mail, Co.",4722121555,"Drammensveien 126 A, PB 744 Sentrum",Bilinmiyor,Oslo,Bilinmiyor,N 0106,Norway,EMEA,Klaeboe,Jan,86,111
Rovelli Gifts,35640555,Via Ludovico il Moro 22,Bilinmiyor,Bergamo,Bilinmiyor,24100,Italy,EMEA,Rovelli,Giovanni,87,111
"Australian Collectables, Ltd",61938446555,7 Allen Street,Bilinmiyor,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,88,111
Gift Ideas Corp.,2035554407,2440 Pompton St.,Bilinmiyor,Glendale,CT,97561,USA,Bilinmiyor,Lewis,Dan,89,111
"Bavarian Collectables Imports, Co.",498961089555,Hansastr. 15,Bilinmiyor,Munich,Bilinmiyor,80686,Germany,EMEA,Donnermeyer,Michael,90,111
Royale Belge,7123672555,"Boulevard Tirou, 255",Bilinmiyor,Charleroi,Bilinmiyor,B-6000,Belgium,EMEA,Cartrain,Pascale,91,111
Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,Bilinmiyor,Brickhaven,MA,58339,USA,Bilinmiyor,Taylor,Leslie,92,111
